"title","url","stars","name","reviewUrl","text"
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","Nathan Butler","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwdExUdlNREAE!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgIDptLTvSQ%7CCgwI4LT1pgYQ0PKTvwE%7C?hl=en","Just ordered 3 sandwiches and a 12 piece nugget. With this order I asked for extra Chic fil a Sauce as that is the best part! Come to find out I have been given one packet for all of my food. Ran out after my fries from one of my combos were eaten. But hey I got a “surprise drink” because I had to wait 10 minutes in the parking lot for the food. I don’t care about a surprise drink. I want my sauce!"
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","K","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwMDh1WVVREAE!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgICp08uYUQ%7CCgwI78HQpgYQ6LHZqAM%7C?hl=en","I ordered in drive thru, the person who took my order was using the iPad when I pulled up. She took my order but didn’t ask for my name, which I wasn’t aware is something that is necessary for ordering. I also paid after right there on the spot. When I went ahead to grab my food no one knew which order I had and kept harassing me for my name even though I told him multiple times that she never took my name down. After I explained my order and got a bag I still had to ask for my two extra sauces which I paid for. Got home to realize that they had given me unsweetened tea when I ordered the regular sweetened so most likely the person taking my order just didn’t bother to ask my preference, just like she didn’t ask for my name. This tea is disgusting, I dumped all of it..I wanted the sweetened one that’s why I ordered it…? The burger was cold, the bun was soggy, the chicken breast on the sandwich was old cold and hard. This place was soooo good when it opened, now it’s an actual disaster. Do I have to open everything up and take a sip from my drink to make sure you guys get my order right next time? Because that is absolutely NOT what should be happening what a disappointment genuinely."
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","Spick","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkeDV5RW93RRAB!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgICdx5yEowE%7CCgwI6OfJrgYQiNLWmwM%7C?hl=en","Restrooms disgusting. No one checked on how our food was. Staff looks like they are just putting in time.  Much different vibe than US locations where they check on things and get you refills."
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","Pud Lun","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaNF96c3p3RRAB!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgICZ4_zszwE%7CCgwI9LqaqAYQ4LuCiwI%7C?hl=en","Ordered a frosted coffee, paid for it and received my receipt. As they were preparing it I go to use the washroom. When I return they tell me my payment didn't go through. I take their word for it and use my debit card to pay for the frosted coffee a second time, it goes through again. When I return home later that night I open up my td app and see I made two separate $6 payments for the single frosted coffee I ordered without receiving a refund for.the first one. I am mainly frustrated on grounds of principle. I got charged for something I did not receive and it's more frustrating when it's for a drink that's pretty expensive."
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","Yasser Koukash (Tech Rider)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNENnFqQTJ3RRAB!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgICD6qjA2wE%7CCgsI_r2NsAYQkKu7DA%7C?hl=en","For the second time my meal is missing items.
I just received my order and it was missing fries.
Last time i ordered five meals same as this time and the drink was so bad like i am drinks water.
Its really i am so disappointed"
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","Trinity Tiffen","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNOMk1hcEtREAE!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgICN2MapKQ%7CCgsIu8eBrQYQ-KClPw%7C?hl=en","First of all the woman working there’s customer service was awful while ordering my food she tried to finish off the order and I didn’t even get to order my food. Then well paying she said “sorry it didn’t go through because the receipt didn’t print” but I checked my bank statements and it went through so she said “pay again, the money will come back in to days”. 2 days later money still wasn’t in my account so I called them and asked to speak to the manager and the person on the phone apparently was the manager so I told him about what happened and he said “oh you have to wait a week” like way can no one get there answers straight so I said no we are coming in and getting my money back and he stopped and stuttered and said oh okay yeah. Not even 10 minutes later we walk in and asked to speak to the manager and the girl there stopped for a moment and said yeah I’m the manager so everyone there’s a manager? She made it such a hassle telling us this is wrong blah blah blah but she’s the one that had it wrong."
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","Simon Barkhoo","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkanVQejBnRRAB!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgIDdjuPz0gE%7CCgsI78LjrgYQqOCsJg%7C?hl=en","I order for take out I waht there for more then 20 minutes they serve alot off people after me I ask for my order she check and my order was on side for 20 minutes she changed the frise because was cold and she didn't changed the sandwich"
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","Kathryn Barrett","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUREbktPaDJ3RRAB!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgIDDnKOh2wE%7CCgwIucTGsAYQsKji3gI%7C?hl=en","Imagine when I opened my bag for my nuggets and my Chic F'lay sauce wasn't in there. Even though I asked for it. I opened my bag to disappointment 😞"
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","Laura Sanchez","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCXzluT1V3EAE!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgIDB_9nOUw%7CCgsIz4vsngYQqIHPFw%7C?hl=en","First and last time !!! , I ordered 12 chicken nuggets.  Big surprise when I see the size of the nuggets.. the size of a pop corn.. 12 very small pieces of breaded chicken!!!  nothing to do with the photo... I thought they were a normal size for nuggets... very disappointing! Don’t waste your money!"
"Chick-fil-A","https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ0ZARJJeLK4gRF_eM3RPtcKY","1","Jake Boss","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwN01IOXJRRRAB!2m1!1s0x0:0xa670ed13dd8cf717!3m1!1s2@1:CIHM0ogKEICAgICp7MH9rQE%7CCgwI8JmZpgYQwKqJkgM%7C?hl=en","Would go here whenever we visited our son at Laurier…was great when we first went a couple years ago. But recently in the past year or so… food is very dry. Horrible.  After giving 3 more chances, never again."
